"filename", "language", "Markdown", "TOML", "Rust", "comment", "blank", "total"
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\Cargo.toml", "TOML", 0, 10, 0, 1, 3, 14
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\README.md", "Markdown", 53, 0, 0, 0, 35, 88
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\lib.rs", "Rust", 0, 0, 35, 2, 14, 51
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\main.rs", "Rust", 0, 0, 26, 0, 5, 31
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\decrypt.rs", "Rust", 0, 0, 87, 0, 25, 112
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\encrypt.rs", "Rust", 0, 0, 131, 0, 25, 156
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\mod.rs", "Rust", 0, 0, 5, 0, 1, 6
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_decrypt\debuffer.rs", "Rust", 0, 0, 46, 0, 12, 58
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_decrypt\mod.rs", "Rust", 0, 0, 4, 0, 0, 4
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_decrypt\recentralize.rs", "Rust", 0, 0, 14, 0, 5, 19
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_decrypt\unbind.rs", "Rust", 0, 0, 67, 0, 13, 80
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_decrypt\vanilla.rs", "Rust", 0, 0, 45, 1, 12, 58
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_encrypt\binding.rs", "Rust", 0, 0, 43, 0, 13, 56
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_encrypt\decentralization.rs", "Rust", 0, 0, 14, 0, 4, 18
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_encrypt\key_buffering.rs", "Rust", 0, 0, 64, 0, 18, 82
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_encrypt\key_encryption.rs", "Rust", 0, 0, 33, 0, 15, 48
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\process_encrypt\mod.rs", "Rust", 0, 0, 4, 0, 2, 6
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\tooling\key_generation.rs", "Rust", 0, 0, 31, 0, 7, 38
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\protocols\tooling\mod.rs", "Rust", 0, 0, 1, 0, 0, 1
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\user_interaction\display.rs", "Rust", 0, 0, 7, 0, 3, 10
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\user_interaction\mod.rs", "Rust", 0, 0, 2, 0, 0, 2
"c:\Users\Administrator\VisualStudioCode\rustic-denk-algo\src\user_interaction\requests.rs", "Rust", 0, 0, 39, 0, 10, 49
"Total", "-", 53, 10, 698, 4, 222, 987